Afghanistan , Kabul
Albania , Tirana
Algeria , Algiers
Andorra , Andorra la Vella
Angola , Luanda
Antigua and Barbuda , Saint John's
Argentina , Buenos Aires
Armenia , Yerevan
Australia , Canberra
Austria , Vienna
Azerbaijan , Baku
Bahamas , Nassau
Bahrain , Manama
Bangladesh , Dhaka
Barbados , Bridgetown
Belarus , Minsk 
Belgium , Brussels 
Belize , Belmopan 
Benin , Porto-Novo 
Bhutan , Thimphu 
Bolivia , La Paz (administrative) and Sucre (constitutional) 
Bosnia and Herzegovina , Sarajevo 
Botswana , Gaborone 
Brazil , Brasília 
Brunei , Bandar Seri Begawan 
Bulgaria , Sofia 
Burkina Faso , Ouagadougou 
Burundi , Gitega (formerly Bujumbura) 
Cambodia , Phnom Penh 
Cameroon , Yaoundé 
Canada , Ottawa  
Cape Verde (Cabo Verde) , Praia  
Central African Republic (CAR) , Bangui  
Chad , N'Djamena  
Chile , Santiago  
China , Beijing  
Colombia , Bogotá  
Comoros , Moroni  
Congo , Democratic Republic of the– Kinshasa  
Congo , Republic of the– Brazzaville  
Costa Rica , San José  
Cote d'Ivoire (Ivory Coast) , Yamoussoukro (official), Abidjan (de facto)  
Croatia , Zagreb  
Cuba , Havana  
Cyprus , Nicosia  
Czech Republic , Prague  
Denmark , Copenhagen  
Djibouti , Djibouti  
Dominica , Roseau  
Dominican Republic , Santo Domingo  
East Timor (Timor-Leste) , Dili  
Ecuador , Quito 
Egypt , Cairo 
El Salvador , San Salvador 
Equatorial Guinea , Malabo 
Eritrea , Asmara 
Estonia , Tallinn 
Ethiopia , Addis Ababa 
Fiji , Suva 
Finland , Helsinki 
France , Paris 
Gabon , Libreville 
Gambia , Banjul 
Georgia , Tbilisi 
Germany , Berlin 
Ghana , Accra 
Greece , Athens 
Grenada , St. George's
Guatemala , Guatemala City
Guinea , Conakry
Guinea , Bissau - Bissau
Guyana , Georgetown
Haiti , Port-au-Prince
Honduras , Tegucigalpa
Hungary , Budapest
Iceland , Reykjavik
India , New Delhi
Indonesia , Jakarta
Iran , Tehran
Iraq , Baghdad
Ireland (Republic of) , Dublin
Israel , Jerusalem (claimed); Tel Aviv (international recognition)
Italy , Rome
Jamaica , Kingston
Japan , Tokyo
Jordan , Amman
Kazakhstan , Nur-Sultan(formerly Astana)
Kenya , Nairobi
Kiribati , Tarawa Atoll
Kosovo , Pristina (disputed)
Kuwait , Kuwait City
Kyrgyzstan , Bishkek
Laos , Vientiane
Latvia , Riga
Lebanon , Beirut
Lesotho , Maseru Liberia-Monrovia Libya-Tripoli Liechtenstein-Vaduz Lithuania-Vilnius Luxembourg-Luxembourg City
Madagascar , Antananarivo
Malawi , Lil
